n_obs,condition,algorithm,trial,ctrl_ms,max_ep,min_clear,tube_safe,collision_free,task_success,qp_infeas_pct
5,nominal,GA-STT,0,2.967372771029942,0.49177673046846937,0.7278197594470284,True,True,True,nan
5,nominal,GA-STT,1,2.926831199872179,0.48802301287627176,1.0638185299927077,True,True,True,nan
5,nominal,GA-STT,2,3.1030739791273554,0.4461348327172197,0.7374933071263952,True,True,True,nan
5,nominal,GA-STT,3,2.706365925997499,0.4923405367263704,1.1447893705941996,True,True,True,nan
5,nominal,GA-STT,4,2.7179129354837364,0.4923354035004274,1.8321003471864774,True,True,True,nan
5,nominal,GA-STT,5,3.147312258698168,0.4854297358816778,0.7946204774534062,True,True,True,nan
5,nominal,GA-STT,6,2.986596772293055,0.4853921211260296,1.1201259743952448,True,True,True,nan
5,nominal,GA-STT,7,3.0693320765351295,0.4870684363716492,0.9094824199230885,True,True,True,nan
5,nominal,GA-STT,8,2.7414762517423337,0.4923357528460169,1.76140436437135,True,True,True,nan
5,nominal,GA-STT,9,2.9924396919640657,0.4862860377399316,0.7413188771404138,True,True,True,nan
5,nominal,GA-STT,10,2.7520375072772443,0.4923390653047344,1.8361455610045505,True,True,True,nan
5,nominal,GA-STT,11,3.091869971536448,0.4860838760501377,0.7517433710528139,True,True,True,nan
5,nominal,GA-STT,12,2.7131819247330484,0.49237471996673615,0.8381453601953284,True,True,True,nan
5,nominal,GA-STT,13,2.935430484501761,0.4887746155191329,1.144078130882301,True,True,True,nan
5,nominal,GA-STT,14,2.7211729936786666,0.4923385713343816,1.2986802704235387,True,True,True,nan
5,nominal,GA-STT,15,2.963158696397015,0.4875005689768633,0.9819349419961639,True,True,True,nan
5,nominal,GA-STT,16,2.874679211892863,0.49233866433919016,0.7985379153648954,True,True,True,nan
5,nominal,GA-STT,17,3.010122697660387,0.4864502294859861,0.8703673288274326,True,True,True,nan
5,nominal,GA-STT,18,3.018799790642846,0.48825501523601544,0.8361677775461703,True,True,True,nan
5,nominal,GA-STT,19,2.7068165414270906,0.492358438478215,1.021327018547495,True,True,True,nan
5,nominal,GA-STT,20,2.9359116957601112,0.4879018322683365,0.9089809180736661,True,True,True,nan
5,nominal,GA-STT,21,2.988023282729186,0.4874376329628783,0.7963121394751126,True,True,True,nan
5,nominal,GA-STT,22,2.991574361162975,0.4544842764603514,0.7546848227010482,True,True,True,nan
5,nominal,GA-STT,23,2.714410025302996,0.4923408188138039,1.2684726910814652,True,True,True,nan
5,nominal,GA-STT,24,3.3054867539548956,0.485457880237452,0.8681354078211809,True,True,True,nan
5,nominal,Baseline,0,2.9423069424421,0.74312602895095,0.577976617337008,True,True,False,nan
5,nominal,Baseline,1,2.850171600887246,0.742961488886429,1.1162642304471757,True,True,False,nan
5,nominal,Baseline,2,2.97477859961957,0.5373162459004378,0.7025648537053777,True,True,True,nan
5,nominal,Baseline,3,2.7606734933602635,0.7476310068168106,0.9931683699619174,True,True,False,nan
5,nominal,Baseline,4,2.7702315395351684,0.747626479144804,1.863983790568521,True,True,False,nan
5,nominal,Baseline,5,3.0557974965221275,0.6852535843667409,0.7951374285298678,True,True,True,nan
5,nominal,Baseline,6,2.871473736246067,0.6837029447547974,1.0845433771442137,True,True,True,nan
5,nominal,Baseline,7,2.9792678412370526,0.7389117708922716,0.8275978344248245,True,True,False,nan
5,nominal,Baseline,8,2.8014086242888503,0.7476267223215856,1.8941376439708797,True,True,False,nan
5,nominal,Baseline,9,2.8846389728027284,0.7215789878272251,0.576235833928121,True,True,False,nan
5,nominal,Baseline,10,2.793062309928022,0.7476268083410852,2.039552614729727,True,True,False,nan
5,nominal,Baseline,11,2.9549816325127742,0.7118336235947079,0.6272324327591501,True,True,True,nan
5,nominal,Baseline,12,2.7724133320646267,0.7476525883301761,0.639859629273102,True,True,False,nan
5,nominal,Baseline,13,2.8830269962012047,0.7442377440825334,1.2940905026333571,True,True,False,nan
5,nominal,Baseline,14,2.786412595190441,0.7476290297758732,1.3438693401809458,True,True,False,nan
5,nominal,Baseline,15,2.8791154212543915,0.7417866521631677,0.9423537518962924,True,True,False,nan
5,nominal,Baseline,16,2.8186423023380933,0.7482825719362888,0.6191227924854014,True,True,False,nan
5,nominal,Baseline,17,2.91774162808053,0.7273496096694093,0.7748871235634999,True,True,False,nan
5,nominal,Baseline,18,2.9014150480704166,0.7333022697225757,0.7248086528790506,True,True,False,nan
5,nominal,Baseline,19,2.773024333964828,0.7476487893634425,0.8899569250743474,True,True,False,nan
5,nominal,Baseline,20,2.858513399109491,0.7428002233800425,0.8354667751049267,True,True,False,nan
5,nominal,Baseline,21,2.916873194815254,0.7415280693860618,0.6455664090747956,True,True,False,nan
5,nominal,Baseline,22,2.8638883523069647,0.7050445309109407,0.5678255018328849,True,True,False,nan
5,nominal,Baseline,23,2.768819516763297,0.7476281915210178,1.0682470997344948,True,True,False,nan
5,nominal,Baseline,24,3.197819664136994,0.6861739378385885,0.7556032894526232,True,True,True,nan
5,nominal,CBF-QP,0,6.292104019608028,0.7392232490700285,0.6542153833968456,True,True,True,nan
5,nominal,CBF-QP,1,6.2333259569896935,0.7629056451158898,0.8226148016525128,True,True,True,nan
5,nominal,CBF-QP,2,6.193280546489354,1.1266872859277166,0.9381844107034653,False,True,True,nan
5,nominal,CBF-QP,3,6.188282302340463,0.7392231138205162,1.3006459756374393,True,True,True,nan
5,nominal,CBF-QP,4,6.201335325110043,0.7392231111458951,1.8130293569902616,True,True,True,nan
5,nominal,CBF-QP,5,6.288650923464356,1.2280376168092468,0.7909777529988953,False,True,True,nan
5,nominal,CBF-QP,6,6.27219337317921,0.8659065931810088,1.1475865539236643,True,True,True,nan
5,nominal,CBF-QP,7,6.275495328272341,0.7392231111459645,0.6803880094100767,True,True,True,nan
5,nominal,CBF-QP,8,6.28644558380887,0.7392231113448033,1.6591208972467404,True,True,True,nan
5,nominal,CBF-QP,9,6.281768667298553,0.7392992944761098,0.8379287414154437,True,True,True,nan
5,nominal,CBF-QP,10,6.277326704616208,0.7392231414575102,1.7005869753209466,True,True,True,nan
5,nominal,CBF-QP,11,6.201729495257687,0.7436615790610585,0.7616526728592206,True,True,True,nan
5,nominal,CBF-QP,12,6.213276944972078,0.7394880988894176,0.9710483833914496,True,True,True,nan
5,nominal,CBF-QP,13,6.24081158317005,0.7392231111458976,0.824927855107193,True,True,True,nan
5,nominal,CBF-QP,14,6.223659092345374,0.7392294145541336,1.2939669393731792,True,True,True,nan
5,nominal,CBF-QP,15,6.218827881084312,0.7392277649208948,0.6952564954321533,True,True,True,nan
5,nominal,CBF-QP,16,6.191697473750617,0.7392869581937511,0.9458192733463223,True,True,True,nan
5,nominal,CBF-QP,17,6.208292135355504,0.7392231363831697,0.8362311037279616,True,True,True,nan
5,nominal,CBF-QP,18,6.204727721699994,0.7708037524591612,0.7817201744454854,True,True,True,nan
