n_obs,algorithm,nominal_ctrl_ms_mean,nominal_ctrl_ms_std,nominal_max_ep_mean,nominal_max_ep_std,nominal_min_clear_mean,nominal_min_clear_std,nominal_collision_free_pct,nominal_tube_safe_pct,nominal_task_success_pct,disturbed_ctrl_ms_mean,disturbed_ctrl_ms_std,disturbed_max_ep_mean,disturbed_max_ep_std,disturbed_min_clear_mean,disturbed_min_clear_std,disturbed_collision_free_pct,disturbed_tube_safe_pct,disturbed_task_success_pct
5,GA-STT,2.9232555920560395,0.1607429601299786,0.4861423522275311,0.010963327862327649,1.032267483304939,0.3302856512255299,100.0,100.0,100.0,3.042277156685962,0.15105054660617082,0.5515038709702653,0.06406638739230333,1.0307707788315528,0.32025276931723756,100.0,100.0,56.00000000000001
5,Baseline,2.8790599429471406,0.10062150182563999,0.7246503959951185,0.043542860196724584,0.9680021128277002,0.4149085765316066,100.0,100.0,20.0,2.9133838561660865,0.15104969613714556,0.7332361364537405,0.05000038932508411,0.9791896922911563,0.3968518138922535,100.0,100.0,28.000000000000004
5,CBF-QP,6.229068537102661,0.035146217221637646,0.8076909414764641,0.14222719152875407,1.0060884187280568,0.3399450671154271,100.0,88.0,100.0,6.20897135956972,0.011586960486977578,0.840428744152065,0.1606709957102961,0.9527042159496141,0.3096594012626753,100.0,88.0,100.0
10,GA-STT,3.6502113911818257,0.14476561721001768,0.48369241581521133,0.010614463152081356,0.8869316517984451,0.1084665720026672,96.0,96.0,96.0,3.6763470447549778,0.1758723949491952,0.5280379642047974,0.05958204559374184,0.8667797854268869,0.1430241971408192,100.0,100.0,68.0
10,Baseline,3.6272129335107115,0.40634917896790096,0.7116270278175415,0.05762227685672982,0.7997131308231903,0.175809642080914,100.0,100.0,40.0,3.554450349045298,0.17960766695115452,0.7135742628636673,0.06350567665236348,0.761455203802997,0.17435605212524985,100.0,100.0,40.0
10,CBF-QP,8.141044903858369,0.026270172872006056,0.9030348223774655,0.1844914535555958,0.7533095216567317,0.12104869891436451,100.0,68.0,100.0,8.127885408501614,0.010979215123223834,0.833464909393762,0.18124252293405738,0.743524908842348,0.1354998490853276,100.0,80.0,100.0
15,GA-STT,4.238688518938555,0.1975061172004567,0.4785640679728853,0.01779937718085288,0.8035945338127355,0.10209791311870234,100.0,100.0,100.0,4.208136669222617,0.22382173719008017,0.5534550073978606,0.07094990920030006,0.7968770826810965,0.13397986727227493,100.0,100.0,56.00000000000001
15,Baseline,4.1500686758751275,0.18510490712559968,0.6947761237269445,0.051150366394347564,0.6708000341395013,0.12229206673707312,100.0,100.0,56.00000000000001,4.092539780062208,0.2266052066678437,0.6978507285877851,0.056614488024342456,0.6842247048631036,0.1303980497578201,100.0,100.0,40.0
15,CBF-QP,10.183527913546248,0.06908340730056292,0.9894230225635775,0.21696955413926794,0.7661491592287024,0.10952323220328489,100.0,52.0,100.0,10.136312477166609,0.03594494086093426,0.9337447056957315,0.22379183078576556,0.7553433296720469,0.13477030419777106,100.0,60.0,100.0
20,GA-STT,4.786258289429042,0.233309954296408,0.4803128582754546,0.01277395433642472,0.792680793434466,0.07367600380207776,96.0,96.0,96.0,4.908486303832373,0.3128288078126967,0.5385765592193852,0.08392449174908986,0.7846118872384832,0.14529740807050578,100.0,100.0,56.00000000000001
20,Baseline,4.75758528769213,0.37515413056877195,0.6885477465884914,0.0642573219052618,0.665325998699103,0.11639408555272245,100.0,100.0,60.0,4.79947316966285,0.31213607710400687,0.6907348072674495,0.06325810797669165,0.7383999150629372,0.1826456543051729,100.0,100.0,64.0
20,CBF-QP,12.22556501141205,0.019209016181811103,1.0227502956590535,0.22336068522886113,0.7499280482181213,0.09078532827474549,100.0,48.0,100.0,12.221196000913201,0.02592852190850729,1.0289311758489597,0.2527591195703631,0.746491921739553,0.09815198797015216,100.0,44.0,100.0
25,GA-STT,5.5128914581632396,0.36644717348239336,0.4794488873697108,0.013062178015716538,0.7710697836825472,0.08211486985013638,100.0,100.0,100.0,5.496482129085443,0.28057099075882125,0.5437350410882064,0.07014522967929177,0.7394760096202025,0.11815856557556287,96.0,96.0,68.0
25,Baseline,5.432328042348663,0.3520882006734993,0.6838324150050894,0.05841691772864704,0.6576102039272023,0.11765783051012775,100.0,100.0,80.0,5.387076659259811,0.2783724602980678,0.7084435386854624,0.059982793395435496,0.6121595896691971,0.15431841010222067,96.0,96.0,44.0
25,CBF-QP,14.35792368157011,0.020597135181848317,1.019033433184263,0.2170152269581209,0.7022567730980162,0.13073425213729645,100.0,40.0,100.0,14.418123118428309,0.08708939892309311,1.0902695967800797,0.1914757204920726,0.721344831662421,0.10438690937647727,100.0,36.0,100.0
